Тип школы;Школа;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа № 18 VIII вида";г.Пермь,ул.Кирова, 195;236-87-14;Директор: Пушкарева Наталья Михайловна;http://korschool18.ucoz.ru;56.604867;58.055446
Коррекционная;МС(К)ОУ для обучающихся, воспитанников с отклонениями в развитии "Специальная (коррекционная) общеобразовательная школа № 20 VIII вида";г.Пермь, ул.Нефтяников, 6;226-02-02;Директор: и.о.Усольцева Ольга Анатольевна;;56.181410;57.974983
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа № 54 VIII вида";г.Пермь, ул.Ким, 60;265-88-03;Директор: Вшивкова Лидия Ивановна;http://school54perm.ru;56.299970;58.025185
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа № 9 VIII вида";г.Пермь, ул.Новосибирская, 3;242-54-32;Директор: Яницкая Татьяна Евгеньевна;http://skosh9.perm.ru;56.241777;57.963202
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 1";г.Пермь, ул.Калинина, 19;253-23-57;Директор: Нестюричева Валентина Семеновна;http://www.school1perm.ru/;56.013884;58.024985
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 10";г.Пермь, ул.Г.Успенского, 9;244-07-59;Директор: Ефимова Валентина Владимировна;http://www.school10.perm.ru/;56.244840;57.998900
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 101";г.Пермь, ул. Репина, 12;284-95-98;Директор: Лялина Екатерина Леонидовна;http://www.school101.ucoz.com;56.312834;58.113936
Статусная;МАОУ "Средняя общеобразовательная школа № 102 с углубленным изучением отдельных предметов";г.Пермь, ул.Мира, 92;226-03-80;Директор: Ларионова Наталия Александровна;http://school102.permedu.ru/;56.175068;57.975584
Статусная;МАОУ "Средняя общеобразовательная школа № 104 с углубленным изучением предметов культурологического профиля";г.Пермь, ул.Барнаульская, 4;274-26-31;Директор: Исхакова Людмила Николаевна;http://www.school104.ru;56.307588;58.106338
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 105";г.Пермь, ул.Инженерная, 5;260-23-71;Директор: Легошина Александра Сергеевна;http://www.school105.perm.ru;56.300841;58.022826
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 107";г.Пермь, ш.Космонавтов, 194;226-27-98;Директор: Ошева Марина Ефимовна;http://www.school107.perm.ru;56.137896;57.964410
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 108";г.Пермь, ул.Нефтяников, 54;221-60-20;Директор: Звегинцева Елена Анатольевна;http://school108perm.ucoz.ru/;56.163633;57.969751
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 109";г.Пермь, ул.Мира, 4;280-26-85;Директор: Шабунина Мария Афанасьевна;http://www.school109.1class.ru;56.209950;57.985672
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 111";г.Пермь, ул.Лепешинской, 43;250-75-83;Директор: Новикова Татьяна Анатольевна;http://www.mou-soh-111.ucoz.ru/;56.104182;58.046111
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 112";г.Пермь, ул.Дружбы, 18;262-49-91;Директор: Домовитова Ольга Николаевна;http://school112perm.ucoz.ru/;56.286675;58.016162
