Район;Адрес;Комнат;Площадь;Этаж;Этажей в доме;Цена;Срок сдачи;Фото;url;Долгота;Широта
Индустриальный;Стахановская;1;30;4;5;15000;месяц;http://74.img.avito.st/140x105/1658838174.jpg;/perm/kvartiry/1-k_kvartira_30_m_45_et._531103924;56.217406;57.986307
Индустриальный;Ш. Космонавтов 120;1;45;3;25;15000;месяц;;/perm/kvartiry/1-k_kvartira_45_m_325_et._569536267;56.191948;57.990982
Ленинский;ул.Екатерининская д.53;2;24;2;5;15000;месяц;;/perm/kvartiry/2-k_kvartira_24_m_25_et._569530825;56.250814;58.011952
Индустриальный;ул.беляева 40;3;65;1;9;1500;сутки;http://80.img.avito.st/140x105/1658866780.jpg;/perm/kvartiry/3-k_kvartira_65_m_19_et._569525410;56.166597;57.969398
Свердловский;Сибирская 69;1;31;2;5;1000;сутки;http://58.img.avito.st/140x105/1617778458.jpg;/perm/kvartiry/1-k_kvartira_31_m_25_et._449547625;56.259752;57.998609
Свердловский;ул. Куйбышева д.62;1;38;4;5;1300;сутки;http://23.img.avito.st/140x105/1654483723.jpg;/perm/kvartiry/1-k_kvartira_38_m_45_et._566718519;56.243197;57.999454
Индустриальный;Норильская,11;2;19;3;3;8000;месяц;http://84.img.avito.st/140x105/1618408384.jpg;/perm/kvartiry/2-k_kvartira_19_m_33_et._528997952;56.194661;57.969389
Мотовилихинский;район ВРЗ;2;45;3;3;22000;месяц;;/perm/kvartiry/2-k_kvartira_45_m_33_et._569495006;56.234195;58.010259
Мотовилихинский;Макаренко, д.19;1;45;17;21;13500;месяц;;/perm/kvartiry/1-k_kvartira_45_m_1721_et._569487543;56.302288;58.010908
Свердловский;ул. Карпинского д. 35;1;63;7;17;16000;месяц;;/perm/kvartiry/1-k_kvartira_63_m_717_et._569479134;56.217478;57.983029
Свердловский;льва шатрова 30;2;45;1;5;18000;месяц;http://13.img.avito.st/140x105/1664098913.jpg;/perm/kvartiry/2-k_kvartira_45_m_15_et._569476120;56.273092;57.987671
Мотовилихинский;Макаренко, 12а;3;82;7;17;22000;месяц;;/perm/kvartiry/3-k_kvartira_82_m_717_et._569467787;56.301605;58.014574
Свердловский;ул. Братская, 171а;1;25;3;5;9000;месяц;http://30.img.avito.st/140x105/1669847430.jpg;/perm/kvartiry/1-k_kvartira_25_m_35_et._518187440;56.319428;57.975097
Дзержинский;г. Верещагино ул. Фрунзе 86;2;52;2;3;11000;месяц;;/perm/kvartiry/2-k_kvartira_52_m_23_et._546138861;56.415134;58.121518
Мотовилихинский;Садовый;1;36;3;5;11000;месяц;;/perm/kvartiry/1-k_kvartira_36_m_35_et._569427007;56.305773;58.005281
