Детский сад;Адрес;Телефон;Заведующий;Сайт;Долгота;Широта
МАДОУ "Центр развития ребенка - детский сад № 137";г.Пермь, ул. Александра Невского, 12;283-38-35;Заведующий: Буслаева Ольга Александровна;;55.946196;57.999625
МАДОУ "Центр развития ребенка - детский сад № 144";г.Пермь, ул. Александра Пархоменко, 6;275-61-20;Заведующий: Останина Людмила Владимировна;;56.360031;58.080347
МАДОУ "Центр развития ребенка - детский сад № 148";г.Пермь, ул. Богдана Хмельницкого, 52а;251-62-65;Заведующий: Бочкарёва Людмила Евгеньевна;;55.939036;58.007871
МБДОУ "Центр развития ребенка - детский сад № 161";г.Пермь, ул. Ким, 105;262-48-32;Заведующий: Бездомникова Елена Владимировна;;56.284330;58.016429
МАДОУ "Центр развития ребенка - детский сад № 162";г.Пермь, ул. Подлесная, 9б;229-31-31;Заведующий: Бусырева Людмила Сергеевна;http://www.dou162.permedu.ru;56.144041;57.995013
МАДОУ "Центр развития ребенка - детский сад № 176";г.Пермь, ул. Юрша, 60а;266-26-63;Заведующий: Мокеева Валентина Архиповна;;56.311711;58.010002
МАДОУ "Центр развития ребенка - детский сад № 178";г.Пермь, ул. Белинского, 53;281-71-12;Заведующий: Гилева Галина Геннадьевна;http://www.petushok178.ucoz.ru;56.255827;57.996306
МАДОУ "Центр развития ребенка - детский сад № 196";г.Пермь, ул. Стахановская, 51а;227-78-75;Заведующий: Захарова Валентина Михайловна;http://madou196.perm.ru/;56.203796;57.986550
МАДОУ "Центр развития ребенка - детский сад № 2";г.Пермь, ул. Машинистов, 51, 46;230-52-42;Заведующий: Мубаракшина Галина Николаевна;http://ds2.perm.ru/;56.101631;58.042200
МАДОУ "Центр развития ребенка - детский сад № 20";г.Пермь, ул. Васнецова, 9;285-35-19;Заведующий: Пестова Марина Борисовна;http://www.dou20perm.webstolica.ru;56.285462;58.116589
МБДОУ "Центр развития ребенка - детский сад № 210";г.Пермь, ул. Карпинского, 61;280-26-18;Заведующий: Суслова Лариса Григорьевна;http://www.permsad210.ru;56.219373;57.980142
