Адрес;Построен;Степень износа;Дата ремонта, гг;Долгота;Широта
Инженерная, 18;1958 г.;45;2015-2017;56.297724;58.022359
Барамзиной, 68;1958 г.;45;2015-2017;56.188893;57.999158
Бородинская, 33;1958 г.;44;2015-2017;56.229003;57.967126
Богдана Хмельницкого, 2а;1958 г.;44;2015-2017;55.925759;58.001929
Анвара Гатауллина, 17;1958 г.;44;2015-2017;56.236639;57.961421
Барамзиной, 72;1958 г.;44;2015-2017;56.190061;57.998504
Анвара Гатауллина, 13;1958 г.;44;2015-2017;56.237995;57.961306
Ким, 51;1958 г.;44;2015-2017;56.300141;58.024580
Новоржевская, 1;1958 г.;43;2015-2017;55.929945;58.000403
Брестская, 16;1958 г.;43;2015-2017;56.228581;57.957711
Сергинская, 28;1958 г.;43;2015-2017;56.235794;57.960199
Металлургов, 10;1958 г.;43;2015-2017;56.287861;58.025166
Автозаводская, 29а;1958 г.;42;2015-2017;55.942971;58.004576
Подлесная, 41/3;1958 г.;42;2015-2017;56.162330;57.996682
Брестская, 11;1958 г.;41;2015-2017;56.230548;57.957873
Судозаводская, 16;1958 г.;41;2015-2017;56.032245;58.033439
Брестская, 4;1958 г.;41;2015-2017;56.233108;57.957358
Адмирала Ушакова, 13;1958 г.;41;2015-2017;56.032092;58.034196
Чернышевского, 37;1958 г.;41;2015-2017;56.262897;57.995185
Яранская, 8;1958 г.;41;2015-2017;55.927915;58.000856
Брестская, 5;1958 г.;40;2015-2017;56.232713;57.957950
Сеченова, 3;1958 г.;40;2015-2017;56.128077;58.036960
В.Фигнер, 3;1958 г.;40;2015-2017;56.288409;58.026357
Корсуньская, 17;1958 г.;40;2015-2017;56.438113;58.151208
Бумажников, 17;1958 г.;40;2015-2017;56.444698;58.146107
В.Фигнер, 1;1958 г.;40;2015-2017;56.288894;58.026700
Нефтяников, 15;1958 г.;39;2015-2017;56.176542;57.973074
Вижайская, 7;1958 г.;39;2015-2017;56.232507;57.967656
Карпинского, 56;1958 г.;39;2015-2017;56.215897;57.981945
Весенняя, 22;1958 г.;39;2015-2017;56.230997;57.959817
Адмирала  Ушакова, 18;1958 г.;38;2015-2017;56.030835;58.034668
Брестская, 3;1958 г.;38;2015-2017;56.233396;57.957888
Брестская, 17а;1958 г.;38;2015-2017;56.228455;57.958293
Брестская, 14;1958 г.;38;2015-2017;56.229659;57.957391
Брестская, 13;1958 г.;38;2015-2017;56.229982;57.958112
Нефтяников, 17;1958 г.;37;2015-2017;56.175706;57.972811
Весенняя, 20;1958 г.;37;2015-2017;56.231788;57.959888
Ординская, 10а;1958 г.;37;2015-2017;56.264846;57.973303
Брестская, 8;1958 г.;37;2015-2017;56.231788;57.957348
Шарташская, 2;1958 г.;37;2015-2017;56.242451;57.986517
Брестская, 12;1958 г.;37;2015-2017;56.230557;57.957568
Магистральная, 14;1958 г.;36;2015-2017;55.942153;58.005710
Бушмакина, 6;1958 г.;36;2015-2017;56.388697;58.088031
Весенняя, 28;1958 г.;36;2015-2017;56.229030;57.960084
Ветлужская, 46;1958 г.;36;2015-2017;56.101775;58.043305
Брестская, 7;1958 г.;36;2015-2017;56.232183;57.958079
Краснополянская, 6;1958 г.;36;2015-2017;56.270110;57.967112
Брестская, 9;1958 г.;36;2015-2017;56.231285;57.957907
Весенняя, 17;1958 г.;36;2015-2017;56.231734;57.960246
Брестская, 6;1958 г.;36;2015-2017;56.232578;57.957429
Бушмакина, 10;1958 г.;36;2015-2017;56.389775;58.087569
Карпинского, 82;1958 г.;35;2015-2017;56.211055;57.975613
Ким, 57;1958 г.;35;2015-2017;56.299171;58.023412
Яранская, 2;1958 г.;35;2015-2017;55.925516;58.001538
Героев Хасана, 73;1958 г.;35;2015-2017;56.260040;57.977512
Магистральная, 12а;1958 г.;35;2015-2017;55.943348;58.005248
Лебедева, 21;1958 г.;35;2015-2017;56.290134;58.021915
Пихтовая, 10;1958 г.;35;2015-2017;56.276165;57.970472
Весенняя, 16;1958 г.;35;2015-2017;56.233126;57.959802
Космонавта Леонова, 15;1958 г.;34;2015-2017;56.168403;57.974606
Карпинского, 58;1958 г.;34;2015-2017;56.215798;57.981497
Качалова, 24;1958 г.;34;2015-2017;56.171233;57.975417
25 Октября, 4;1958 г.;34;2015-2017;56.246143;58.017964
Мира, 98а;1958 г.;34;2015-2017;56.170631;57.974954
Анвара Гатауллина, 15;1958 г.;34;2015-2017;56.237456;57.961464
Карпинского, 88;1958 г.;34;2015-2017;56.208351;57.974520
Весенняя, 15;1958 г.;34;2015-2017;56.232767;57.960514
Весенняя, 14;1958 г.;33;2015-2017;56.233944;57.959841
Весенняя, 21;1958 г.;33;2015-2017;56.229380;57.960380
Бригадирская, 1;1958 г.;33;2015-2017;56.276246;57.970983
Серебрянский проезд, 2а;1958 г.;32;2015-2017;56.239810;57.974954
Коспашская, 5;1958 г.;32;2015-2017;56.294149;58.097535
4 Пятилетка, 2а;1958 г.;32;2015-2017;56.234195;58.010259
Лебедева, 48;1958 г.;31;2015-2017;56.279435;58.018150
Пристанционная, 2;1958 г.;31;2015-2017;56.235974;57.952468
Снайперов, 8;1958 г.;31;2015-2017;56.206572;57.985610
Подлесная, 41/2;1958 г.;31;2015-2017;56.162402;57.996477
Кировоградская, 71;1958 г.;30;2015-2017;55.965357;58.004804
Ким, 88;1958 г.;29;2015-2017;56.283261;58.017606
Адмирала  Ушакова, 20;1958 г.;29;2015-2017;56.029910;58.034639
Брестская, 10;1958 г.;29;2015-2017;56.231168;57.957386
Богдана Хмельницкого, 32;1958 г.;29;2015-2017;55.933862;58.006340
Полины Осипенко, 56;1958 г.;28;2015-2017;56.250464;57.996220
Кавалерийская, 18;1958 г.;27;2015-2017;56.205404;57.980939
Кировоградская, 73а;1958 г.;27;2015-2017;55.964809;58.005763
Петропавловская, 66;1958 г.;32767;2015-2017;56.207408;58.007227
Углеуральская, 21;1958 г.;26;2015-2017;56.179596;57.997093
Энгельса, 12;1958 г.;26;2015-2017;56.183153;57.999625
Переселенческая, 113;1958 г.;26;2015-2017;56.181482;57.996329
Василия Каменского, 28;1958 г.;26;2015-2017;56.180844;57.997450
Сибирская, 1а 1;1958 г.;26;2015-2017;56.242532;58.017201
Куйбышева, 38;1958 г.;26;2015-2017;56.236594;58.007055
Кочегаров, 37;1958 г.;26;2015-2017;56.100850;58.040418
Барамзиной, 27а;1958 г.;26;2015-2017;56.183225;58.002072
Ветлужская, 22;1958 г.;25;2015-2017;56.109940;58.041781
Р.Землячки, 14;1958 г.;25;2015-2017;56.234195;58.010259
Байкальская, 30;1958 г.;23;2015-2017;56.022445;58.033834
Шишкина, 6;1958 г.;22;2015-2017;55.963012;58.005467
Г. Наумова, 20;1958 г.;21;2015-2017;56.109653;58.041533
Машинистов, 22;1958 г.;21;2015-2017;56.108548;58.040104
Мира, 61а;1958 г.;10;2015-2017;56.174862;57.973966
Ремонтная-2я, 7;1958 г.;1;2015-2017;56.162645;57.959301
Закамская, 29а;1958 г.;;2015-2017;55.952053;58.001595
Новосибирская, 16а;1958 г.;;2015-2017;56.237582;57.962037
Мира, 57;1958 г.;;2015-2017;56.176667;57.975202
Новосибирская, 14;1958 г.;;2015-2017;56.238364;57.962801
Мира, 61;1958 г.;;2015-2017;56.174547;57.974615
Лукоянова, 24;1958 г.;;2015-2017;56.231438;57.958360
Коспашская, 7;1958 г.;;2015-2017;56.293682;58.097725
Лукоянова, 20;1958 г.;;2015-2017;56.232722;57.958293
Новоржевская, 3;1958 г.;;2015-2017;55.929738;58.000703
Сергинская, 45;1958 г.;;2015-2017;56.233971;57.957362
Мира, 63;1958 г.;;2015-2017;56.173954;57.974262
Новосибирская, 16;1958 г.;;2015-2017;56.237816;57.962763
Мира, 59;1958 г.;;2015-2017;56.176038;57.974921
Лукоянова, 37;1958 г.;;2015-2017;56.228689;57.959382
Мира, 69;1958 г.;;2015-2017;56.169804;57.973222
Лукоянова, 39;1958 г.;;2015-2017;56.228132;57.959516
Чистопольская, 14;1958 г.;;2015-2017;55.937617;57.997379
Сергинская, 43;1958 г.;;2015-2017;56.234070;57.957711
Победы, 29;1958 г.;;2015-2017;55.922920;58.006106
Лукоянова, 26;1958 г.;;2015-2017;56.230701;57.958422
Сивкова, 23;1958 г.;;2015-2017;56.212151;57.983921
Лукоянова, 35;1958 г.;;2015-2017;56.229497;57.959435
Худанина, 13;1958 г.;;2015-2017;55.939835;57.998762
Сергинская, 24;1958 г.;;2015-2017;56.236181;57.961612
Оборонщиков, 5;1958 г.;;2015-2017;55.959787;58.003541
Сергинская, 36;1958 г.;;2015-2017;56.235237;57.957773
Охотников, 18;1958 г.;;2015-2017;55.932083;58.003250
Ветлужская, 42;1958 г.;;2015-2017;56.102970;58.043134
Оборонщиков, 7;1958 г.;;2015-2017;55.959167;58.003817
В.Фигнер, 5;1958 г.;;2015-2017;56.287915;58.026024
Нефтяников, 15а;1958 г.;;2015-2017;56.177063;57.972887
Сергинская, 37а;1958 г.;;2015-2017;56.233692;57.959478
Химградская, 5;1958 г.;;2015-2017;55.931625;58.001399
Лукоянова, 27;1958 г.;;2015-2017;56.233486;57.959053
Полтавская, 5;1958 г.;;2015-2017;55.931409;58.003655
В.Фигнер, 5а;1958 г.;;2015-2017;56.288400;58.025542
Бахаревская, 49;1958 г.;;2015-2017;56.233396;57.952358
Лукоянова, 18;1958 г.;;2015-2017;56.233396;57.958470
Полтавская, 3а;1958 г.;;2015-2017;55.932299;58.002816
Лукоянова, 29;1958 г.;;2015-2017;56.233028;57.959339
Оборонщиков, 3;1958 г.;;2015-2017;55.960398;58.003235
Кузбасская, 37а;1958 г.;;2015-2017;56.238965;57.961937
Новоржевская, 5;1958 г.;;2015-2017;55.929181;58.001023
Лукоянова, 32;1958 г.;;2015-2017;56.228599;57.958795
Писарева, 49;1958 г.;;2015-2017;56.303015;58.114402
Лукоянова, 30;1958 г.;;2015-2017;56.229300;57.958532
Лобвинская, 22;1958 г.;;2015-2017;56.309762;58.112614
Куйбышева, 145;1958 г.;;2015-2017;56.244400;57.966486
Карбышева, 28;1958 г.;;2015-2017;56.314622;58.109890
Кировоградская, 75;1958 г.;;2015-2017;55.966821;58.005553
Охотников, 12;1958 г.;;2015-2017;55.930655;58.002449
Янаульская, 11;1958 г.;;2015-2017;56.308756;58.101954
Дубовская, 12;1958 г.;;2015-2017;55.932927;58.005529
Судозаводская, 18;1958 г.;;2015-2017;56.031553;58.033672
Сибирская, 61;1958 г.;;2015-2017;56.256483;58.001638
Шишкина, 12;1959 г.;68;2015-2017;55.960937;58.006545
Закамская, 58;1959 г.;67;2015-2017;55.962527;58.006130
Липатова, 9;1959 г.;66;2015-2017;55.964665;58.007699
Левшинский пер., 9;1959 г.;63;2015-2017;56.387565;58.138634
Менжинского, 43;1959 г.;62;2015-2017;56.390314;58.121936
Линия 2-я, 9;1959 г.;60;2015-2017;56.290322;58.047930
Толбухина, 2/2;1959 г.;60;2015-2017;56.305423;58.104759
Янаульская, 15;1959 г.;60;2015-2017;56.307327;58.101059
Монастырская, 27;1959 г.;58;2015-2017;56.239487;58.016853
Куйбышева, 59;1959 г.;57;2015-2017;56.240439;57.999787
Космонавта Беляева, 12;1959 г.;55;2015-2017;56.183477;57.974248
Рязанская, 11;1959 г.;53;2015-2017;56.204515;57.972835
Липатова, 11;1959 г.;53;2015-2017;55.964081;58.007980
Рязанская, 13;1959 г.;53;2015-2017;56.203787;57.972682
Екатерининская, 216;1959 г.;51;2015-2017;56.208396;58.003550
Желябова, 11/2;1959 г.;51;2015-2017;56.149215;57.996291
Екатерининская, 214;1959 г.;50;2015-2017;56.208396;58.003550
Криворожская, 40;1959 г.;50;2015-2017;56.381986;58.132387
Криворожская, 42;1959 г.;50;2015-2017;56.381807;58.131949
Криворожская, 38;1959 г.;50;2015-2017;56.382310;58.132985
Докучаева, 8;1959 г.;49;2015-2017;56.127871;58.039690
Новогодняя, 11;1959 г.;49;2015-2017;56.357274;58.081136
Кавалерийская, 30;1959 г.;49;2015-2017;56.210489;57.976267
Новогодняя, 9;1959 г.;49;2015-2017;56.357319;58.081527
Барамзиной, 8;1959 г.;48;2015-2017;56.165959;58.003245
Толбухина, 46;1959 г.;48;2015-2017;56.292020;58.096736
Б.Вагановых, 10;1959 г.;47;2015-2017;56.284600;58.017940
Подлесная, 9/3;1959 г.;47;2015-2017;56.143106;57.994545
Краснова, 26;1959 г.;47;2015-2017;56.245541;58.005472
Луначарского, 70/72;1959 г.;46;2015-2017;56.233809;58.006617
Лядовская(Запруд), 91;1959 г.;46;2015-2017;56.350473;58.035230
Косьвинская, 1а;1959 г.;45;2015-2017;56.274503;57.973494
Лебедева, 47;1959 г.;45;2015-2017;56.280180;58.017849
Е.Ярославского, 59;1959 г.;45;2015-2017;56.223326;57.969479
Сусанина, 4;1959 г.;44;2015-2017;56.198649;57.967899
Пихтовая, 18;1959 г.;44;2015-2017;56.277620;57.972740
Корсуньская, 9;1959 г.;44;2015-2017;56.442254;58.151184
Бумажников, 9;1959 г.;44;2015-2017;56.444671;58.149517
Анвара Гатауллина, 25;1959 г.;43;2015-2017;56.233405;57.962094
Лядовская(Запруд), 89;1959 г.;43;2015-2017;56.350024;58.035411
Н.Быстрых, 2;1959 г.;43;2015-2017;56.297131;58.021277
Колыбалова, 24;1959 г.;42;2015-2017;56.350716;58.036755
Яранская, 10;1959 г.;42;2015-2017;55.929262;58.000245
Генерала Черняховского, 28;1959 г.;42;2015-2017;56.385750;58.091756
Анвара Гатауллина, 23;1959 г.;41;2015-2017;56.234276;57.961970
Лядовская(Запруд), 95;1959 г.;41;2015-2017;56.351758;58.035449
Кустовая, 5;1959 г.;41;2015-2017;56.270433;57.969513
Комсомольский, 44;1959 г.;41;2015-2017;56.244643;58.005749
Кустовая, 7;1959 г.;41;2015-2017;56.270424;57.970219
Лякишева, 4;1959 г.;41;2015-2017;56.303851;58.000880
Колыбалова, 30;1959 г.;41;2015-2017;56.351291;58.036202
Лядовская(Запруд), 87;1959 г.;41;2015-2017;56.349467;58.035211
Сухумская, 10;1959 г.;41;2015-2017;56.439191;58.149750
Оршанская, 3;1959 г.;41;2015-2017;56.436451;58.150894
Лядовская(Запруд), 93;1959 г.;41;2015-2017;56.351309;58.035225
Крупской, 30;1959 г.;40;2015-2017;56.277764;58.018030
Баумана, 12;1959 г.;40;2015-2017;56.194813;57.986736
Братьев Вагановых, 8;1959 г.;40;2015-2017;56.284034;58.018274
Гашкова, 3;1959 г.;39;2015-2017;56.355118;58.068767
Ким, 92;1959 г.;39;2015-2017;56.281429;58.017158
Докучаева, 6;1959 г.;39;2015-2017;56.127350;58.039756
Лиственная, 2;1959 г.;39;2015-2017;56.269930;57.969938
Подлесная, 41/1;1959 г.;39;2015-2017;56.162725;57.996196
Весенняя, 30;1959 г.;38;2015-2017;56.228401;57.959984
Подлесная, 19;1959 г.;38;2015-2017;56.150679;57.993348
Уральская, 91;1959 г.;38;2015-2017;56.291283;58.024651
Колыбалова, 14;1959 г.;38;2015-2017;56.349252;58.035826
Весенняя, 26;1959 г.;38;2015-2017;56.229704;57.960032
Колыбалова, 18;1959 г.;38;2015-2017;56.349782;58.036231
Уральская, 113;1959 г.;38;2015-2017;56.278258;58.019889
Колыбалова, 20;1959 г.;38;2015-2017;56.350680;58.035816
Анвара Гатауллина, 28а;1959 г.;38;2015-2017;56.234142;57.960686
Колыбалова, 16;1959 г.;38;2015-2017;56.349665;58.035888
Транспортная, 29;1959 г.;38;2015-2017;56.129048;58.036512
Весенняя, 18;1959 г.;37;2015-2017;56.232462;57.959841
Колыбалова, 26;1959 г.;37;2015-2017;56.351453;58.036869
Весенняя, 13а;1959 г.;37;2015-2017;56.233728;57.960089
Комбайнеров, 44;1959 г.;37;2015-2017;56.184294;57.974844
Брестская, 17;1959 г.;37;2015-2017;56.228410;57.957978
Нефтяников, 5;1959 г.;37;2015-2017;56.181788;57.974467
Карпинского, 100;1959 г.;37;2015-2017;56.206132;57.972367
Гагарина, 23;1959 г.;36;2015-2017;56.271772;58.020223
Подлесная, 21;1959 г.;36;2015-2017;56.151308;57.994884
Весенняя, 24;1959 г.;36;2015-2017;56.230396;57.959989
Качалова, 27;1959 г.;36;2015-2017;56.172840;57.975341
Брестская, 21;1959 г.;36;2015-2017;56.227117;57.958184
Лядовская(Запруд), 97;1959 г.;36;2015-2017;56.351758;58.035911
Глеба Успенского, 28;1959 г.;36;2015-2017;56.238013;57.997212
Камышинская, 10;1959 г.;36;2015-2017;56.033512;58.033443
Героев Хасана, 11;1959 г.;36;2015-2017;56.257650;57.990591
Петропавловская, 88;1959 г.;35;2015-2017;56.196313;58.005424
Лебедева, 37;1959 г.;35;2015-2017;56.283073;58.018650
Оршанская, 11;1959 г.;35;2015-2017;56.436783;58.149750
Баумана, 10;1959 г.;35;2015-2017;56.195164;57.987189
Трясолобова, 100;1959 г.;35;2015-2017;56.305432;58.163976
Комсомольский, 36;1959 г.;34;2015-2017;56.242819;58.007742
Крупской, 22;1959 г.;34;2015-2017;56.274763;58.020204
Крупской, 20;1959 г.;34;2015-2017;56.274206;58.020242
Гагарина, 25;1959 г.;34;2015-2017;56.272589;58.019889
Луначарского, 65;1959 г.;34;2015-2017;56.243277;58.008018
Буровая- 2ая, 13;1959 г.;34;2015-2017;55.847507;58.030737
Качалова, 22;1959 г.;34;2015-2017;56.171466;57.975975
Закамская, 66;1959 г.;34;2015-2017;55.964485;58.007050
Краснофлотская, 15;1959 г.;33;2015-2017;56.234465;57.999015
Нефтяников, 1а;1959 г.;33;2015-2017;56.183944;57.974525
25 Октября, 5;1959 г.;33;2015-2017;56.245451;58.017754
Закамская, 85;1959 г.;33;2015-2017;55.963461;58.007184
1-я Сортировочная, 15;1959 г.;33;2015-2017;56.112420;58.040519
Космонавта Леонова, 26;1959 г.;33;2015-2017;56.169526;57.972004
Борчанинова, 3;1959 г.;33;2015-2017;56.219238;58.007027
Баумана, 8;1959 г.;33;2015-2017;56.196017;57.987080
Ветлужская, 16;1959 г.;33;2015-2017;56.111728;58.041214
Ким, 86;1959 г.;33;2015-2017;56.283998;58.017539
Лебедева, 46;1959 г.;33;2015-2017;56.280890;58.018478
Мира, 94;1959 г.;32;2015-2017;56.173649;57.974921
Уральская, 114;1959 г.;32;2015-2017;56.274242;58.019751
Колыбалова, 22;1959 г.;32;2015-2017;56.350689;58.036355
Героев Хасана, 1;1959 г.;32;2015-2017;56.254758;57.995123
Космонавта Леонова, 24а;1959 г.;32;2015-2017;56.168726;57.972114
Крупской, 35;1959 г.;31;2015-2017;56.280027;58.016796
Закамская, 83;1959 г.;31;2015-2017;55.962266;58.006922
Брестская, 19;1959 г.;31;2015-2017;56.227817;57.958141
Космонавта Леонова, 13;1959 г.;31;2015-2017;56.167666;57.974863
Маршала Толбухина, 2/4;1959 г.;31;2015-2017;56.304183;58.104607
Космонавтов, 183;1959 г.;31;2015-2017;56.169301;57.977269
Космонавта Леонова, 24;1959 г.;31;2015-2017;56.169139;57.972272
Толбухина, 2/1;1959 г.;31;2015-2017;56.306213;58.104764
Космонавта Леонова, 11;1959 г.;30;2015-2017;56.168043;57.975322
Качалова, 20;1959 г.;30;2015-2017;56.170487;57.976109
Мира, 90;1959 г.;30;2015-2017;56.176560;57.975808
Толбухина, 38;1959 г.;30;2015-2017;56.293826;58.097126
Веры Засулич, 43;1959 г.;30;2015-2017;56.204102;57.972305
Усадебная, 2;1959 г.;30;2015-2017;56.291490;58.096508
Уральская, 116;1959 г.;29;2015-2017;56.273461;58.019499
Качалова, 14;1959 г.;29;2015-2017;56.170226;57.977183
Семченко, 7;1959 г.;29;2015-2017;56.205108;57.981273
Маршала Рыбалко, 7а;1959 г.;28;2015-2017;55.939252;57.998156
Богдана Хмельницкого, 1;1959 г.;28;2015-2017;55.924789;58.002005
Уральская, 86а;1959 г.;27;2015-2017;56.288822;58.025023
Ст. Разина, 79;1959 г.;27;2015-2017;56.271808;58.020581
Лебедева, 39;1959 г.;27;2015-2017;56.282516;58.018326
Адмирала  Ушакова, 16;1959 г.;26;2015-2017;56.031571;58.034887
Машинистов, 49/9;1959 г.;26;2015-2017;56.103428;58.042048
Космонавта Леонова, 22;1959 г.;26;2015-2017;56.169211;57.972539
Папанинцев, 12;1959 г.;26;2015-2017;56.177494;58.000956
Мира, 79;1959 г.;26;2015-2017;56.166319;57.971914
1-я Сортировочная, 13;1959 г.;25;2015-2017;56.112231;58.040047
Лебедева, 43;1959 г.;25;2015-2017;56.280962;58.017778
Машинистов, 25;1959 г.;25;2015-2017;56.111872;58.039747
Ардатовская, 36;1959 г.;25;2015-2017;55.919821;58.008500
Лебедева, 45;1959 г.;25;2015-2017;56.280180;58.017849
Ветлужская, 14;1959 г.;25;2015-2017;56.112573;58.041028
25 Октября, 27б;1959 г.;25;2015-2017;56.253006;58.009954
Кустовая, 3;1959 г.;24;2015-2017;56.270344;57.969064
Кустовая, 1;1959 г.;24;2015-2017;56.270029;57.968372
Крупской, 18;1959 г.;23;2015-2017;56.274359;58.020714
Шишкина, 4;1959 г.;22;2015-2017;55.963847;58.005024
Луначарского, 95а;1959 г.;21;2015-2017;56.230449;58.005238
Одоевского, 28;1959 г.;21;2015-2017;56.176631;57.976453
Степана Разина, 75;1959 г.;21;2015-2017;56.273703;58.021057
Пушкина, 35;1959 г.;21;2015-2017;56.242172;58.006340
Нефтяников, 48А;1959 г.;20;2015-2017;56.167451;57.971255
Папанинцев, 19;1959 г.;18;2015-2017;56.177646;58.000045
Гарцовская, 46;1959 г.;18;2015-2017;56.352674;58.036445
Комсомольский, 33;1959 г.;18;2015-2017;56.242496;58.006802
Энгельса, 14;1959 г.;18;2015-2017;56.183944;57.999287
Гатчинская, 4;1959 г.;18;2015-2017;56.185201;57.998132
Барамзиной, 29а;1959 г.;18;2015-2017;56.183252;58.001690
Сеченова, 3а;1959 г.;12;2015-2017;56.127574;58.037126
Героя Васькина, 12;1959 г.;1;2015-2017;56.030062;58.052555
Сивкова, 13;1959 г.;1;2015-2017;56.215609;57.983511
Героя Васькина, 10;1959 г.;1;2015-2017;56.030062;58.052555
Рязанская, 9;1959 г.;1;2015-2017;56.205027;57.972997
Рязанская, 7;1959 г.;1;2015-2017;56.205333;57.973126
Новосибирская, 18;1959 г.;;2015-2017;56.236989;57.962915
Мира, 55;1959 г.;;2015-2017;56.177871;57.975269
Кузбасская, 37;1959 г.;;2015-2017;56.238283;57.961984
Одоевского, 34;1959 г.;;2015-2017;56.177494;57.974711
Сергинская, 27;1959 г.;;2015-2017;56.235291;57.962920
Сивкова, 15;1959 г.;;2015-2017;56.214998;57.983611
Сергинская, 31;1959 г.;;2015-2017;56.234914;57.961641
Закамская, 62;1959 г.;;2015-2017;55.963812;58.006717
Лукоянова, 36;1959 г.;;2015-2017;56.227260;57.958671
Химградская, 7;1959 г.;;2015-2017;55.932317;58.001604
Сергинская, 41;1959 г.;;2015-2017;56.234213;57.958360
Толбухина, 40;1959 г.;;2015-2017;56.293502;58.096841
Лукоянова, 22;1959 г.;;2015-2017;56.231950;57.958317
Ямпольская, 14а;1959 г.;;2015-2017;55.968249;58.014016
Лукоянова, 38;1959 г.;;2015-2017;56.226551;57.958723
Фадеева, 13;1959 г.;;2015-2017;55.847084;58.030236
Лукоянова, 28а;1959 г.;;2015-2017;56.229875;57.958451
Фадеева, 15;1959 г.;;2015-2017;55.847965;58.030060
Лукоянова, 34;1959 г.;;2015-2017;56.227943;57.958628
Новоржевская, 7;1959 г.;;2015-2017;55.928589;58.001280
Кузбасская, 35;1959 г.;;2015-2017;56.239190;57.962572
Новоржевская, 38;1959 г.;;2015-2017;55.919902;58.006278
Сергинская, 29;1959 г.;;2015-2017;56.235157;57.962347
Лобвинская, 18;1959 г.;;2015-2017;56.309878;58.111825
Кузбасская, 39;1959 г.;;2015-2017;56.238822;57.961335
Карбышева, 30;1959 г.;;2015-2017;56.313714;58.109833
Лукоянова, 41;1959 г.;;2015-2017;56.227512;57.959626
Усадебная, 6;1959 г.;;2015-2017;56.290403;58.096964
Мензелинская, 14;1959 г.;;2015-2017;55.846375;58.030408
Победы, 31а;1959 г.;;2015-2017;55.922516;58.006550
Судозаводская, 24;1959 г.;;2015-2017;56.031562;58.035373
Коспашская, 9;1959 г.;;2015-2017;56.292882;58.097844
Рязанская, 3;1959 г.;;2015-2017;56.206878;57.973489
Газеты Звезда, 54;1959 г.;;2015-2017;56.255081;58.000288
Александра Щербакова, 38;1960 г.;69;2015-2017;56.386469;58.127007
Александра Щербакова, 36;1960 г.;69;2015-2017;56.385876;58.127003
Маршала Рыбалко, 78;1960 г.;67;2015-2017;55.960155;58.008195
Нефтяников, 3а;1960 г.;66;2015-2017;56.183225;57.974563
Банная гора, 2 км, 2;1960 г.;66;2015-2017;56.396790;58.150524
Нефтяников, 3;1960 г.;65;2015-2017;56.183081;57.974930
Автозаводская, 14;1960 г.;62;2015-2017;55.939189;58.000565
Железнод ст. Лёвшино, 10а;1960 г.;60;2015-2017;56.376911;58.135390
Железнодорожная ст. Лёвшино, 9а;1960 г.;59;2015-2017;56.377962;58.137623
Адмирала Нахимова, 15;1960 г.;58;2015-2017;55.951639;58.002415
Козьмы Минина, 6;1960 г.;57;2015-2017;56.271098;57.965532
Докучаева, 12;1960 г.;57;2015-2017;56.129012;58.039594
Цимлянская, 9;1960 г.;56;2015-2017;56.383576;58.131389
п.Н.Курья ДОС 44, 44;1960 г.;52;2015-2017;56.025292;58.071832
п.Н.Курья ДОС 42, 42;1960 г.;52;2015-2017;56.024412;58.071704
п.Н.Курья ДОС 41, 41;1960 г.;52;2015-2017;56.024196;58.072085
п.Н.Курья ДОС 43, 43;1960 г.;52;2015-2017;56.025077;58.072218
Адмирала Старикова, 1;1960 г.;50;2015-2017;56.382974;58.138962
Липовая, 8;1960 г.;49;2015-2017;56.356789;58.081736
Космонавтов, 82а;1960 г.;49;2015-2017;56.215573;57.995242
Маяковского, 46;1960 г.;48;2015-2017;56.109940;58.003064
Окулова, 31;1960 г.;46;2015-2017;56.214648;58.013072
Комсомольский, 30;1960 г.;46;2015-2017;56.240573;58.010102
Танкистов, 48;1960 г.;45;2015-2017;56.211495;57.982055
Карпинского, 49;1960 г.;44;2015-2017;56.216804;57.982260
Линия 1-я, 65;1960 г.;44;2015-2017;56.298371;58.051869
Подлесная, 17/3;1960 г.;44;2015-2017;56.149889;57.993959
М.Горького, 74;1960 г.;44;2015-2017;56.263211;58.004356
Дружбы, 26;1960 г.;42;2015-2017;56.283773;58.015351
Колыбалова, 28;1960 г.;42;2015-2017;56.351731;58.036436
Дружбы, 22;1960 г.;42;2015-2017;56.284824;58.015613
Писарева, 45;1960 г.;41;2015-2017;56.308306;58.104488
Горняков, 7;1960 г.;41;2015-2017;56.228276;57.995662
Новоржевская, 32;1960 г.;40;2015-2017;55.921878;58.005248
Богдана Хмельницкого, 26;1960 г.;40;2015-2017;55.932541;58.005572
Адмирала Ушакова, 7;1960 г.;39;2015-2017;56.035165;58.034234
Оршанская, 7;1960 г.;39;2015-2017;56.437170;58.150234
Анвара Гатауллина, 34;1960 г.;39;2015-2017;56.231878;57.961063
Богдана Хмельницкого, 9;1960 г.;39;2015-2017;55.929379;58.004394
Дружбы, 24;1960 г.;39;2015-2017;56.284043;58.015885
Судозаводская, 14;1960 г.;39;2015-2017;56.031553;58.033081
Анвара Гатауллина, 36;1960 г.;39;2015-2017;56.231249;57.961029
Толбухина, 2/5;1960 г.;39;2015-2017;56.303563;58.104598
Заречная, 156;1960 г.;39;2015-2017;56.092046;58.046078
Петропавловская, 68;1960 г.;39;2015-2017;56.206231;58.007065
Горняков, 5а;1960 г.;39;2015-2017;56.229219;57.995957
Петропавловская, 64;1960 г.;38;2015-2017;56.208620;58.007437
